"","X","Organism","Group","type","name","shp","sa","la","wi","SJR2.site","SJR2.FC.1","SJR2.T24.1","SJR2.FC.2","SJR2.T24.2","SJR2.FC.3","SJR2.T24.3","SJR2.IC.1","SJR2.IC.2","SJR2.IC.3","YBP1.site","YBP1.FC.1","YBP1.T24.1","YBP1.FC.2","YBP1.T24.2","YBP1.FC.3","YBP1.T24.3","YBP1.IC.1","YBP1.IC.2","YBP1.IC.3","LSZ2.site","LSZ2.FC.1","LSZ2.T24.1","LSZ2.FC.2","LSZ2.T24.2","LSZ2.FC.3","LSZ2.T24.3","LSZ2.IC.1","LSZ2.IC.2","LSZ2.IC.3","WLD2.site","WLD2.FC.1","WLD2.T24.1","WLD2.FC.2","WLD2.T24.2","WLD2.FC.3","WLD2.T24.3","WLD2.IC.1","WLD2.IC.2","WLD2.IC.3","SJR1.site","SJR1.FC.1","SJR1.T24.1","SJR1.FC.2","SJR1.T24.2","SJR1.FC.3","SJR1.T24.3","SJR1.IC.1","SJR1.IC.2","SJR1.IC.3","YBP2.site","YBP2.FC.1","YBP2.T24.1","YBP2.FC.2","YBP2.T24.2","YBP2.FC.3","YBP2.T24.3","YBP2.IC.1","YBP2.IC.2","YBP2.IC.3","zoom"
"1",1,"Chlorophyte Y: Actinastrum","chlorophyte","actinastrum","chlory","cones2",2.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,5,5,NA,NA,45,5,40,20,20,100
"2",2,"Chlorophyte X: Colonial","chlorophyte","colonial","chlorx","sph",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,4,4,5,100
"3",3,"Chlorophyte Z: Colonial","chlorophyte","colonial","chlorz","sph",24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,3,NA,4,NA,NA,100
"4",4,"Chlorophyte AA: Colonial","chlorophyte","colonial","chloraa","sph",32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,2,NA,NA,100
"5",5,"Chlorophyte AB: Colonial","chlorophyte","colonial","chlorab","sph",32,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100
"6",6,"Chlorophyte AC: Colonial","chlorophyte","colonial","chlorac","sph",40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,100
"7",7,"Chlorophyte AD: Colonial","chlorophyte","colonial","chlorad","sph",64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,100
"8",8,"Chlorophyte AE: Other","chlorophyte","other","chlorae","sph",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"9",9,"Chlorophyte AF: Pediastrum","chlorophyte","pediastrum","chloraf","prisell",16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,1,NA,NA,NA,NA,100
"10",10,"Chlorophyte AG: Pediastrum","chlorophyte","pediastrum","chlorag","prisell",40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,100
"11",11,"Chlorophyte AH:  Scenedesmus","chlorophyte","scenedesmus","chlorah","prosph",12,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,3,NA,NA,NA,NA,100
"12",12,"Chlorophyte AI: Scenedesmus","chlorophyte","scenedesmus","chlorai","prosph",16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,100
"13",13,"Chlorophyte AJ: Scenedesmus","chlorophyte","scenedesmus","chloraj","prosph",16,32,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,100
"14",14,"Ciliate E: cone","ciliate","cone","cile","cone1",12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,100
"15",15,"Ciliate F: cone","ciliate","cone","cilf","cone1",16,24,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,4,29,19,NA,NA,NA,100
"16",16,"Ciliate G: cone","ciliate","cone","cilg","cone1",24,24,NA,NA,NA,NA,NA,NA,151,47,38,59,36,NA,129,NA,169,71,131,34,30,29,26,NA,207,17,156,20,212,65,41,64,55,NA,126,33,126,16,99,27,27,26,10,NA,116,22,3,8,156,47,77,70,114,NA,NA,NA,NA,NA,NA,NA,110,NA,100,100
"17",17,"Ciliate H:cone","ciliate","cone","cilh","cone1",24,40,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,4,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"18",18,"Ciliate I: cone","ciliate","cone","cili","cone1",32,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,100
"19",19,"Ciliate J: cone","ciliate","cone","cilj","cone1",32,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,100
"20",20,"Ciliate K: cone","ciliate","cone","cilk","cone1",40,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,100
