"","samp_date","samp_ev","exp","Group","type","sa","la","wi","tot_ct","bmn_pgml","category","mean_ct","log_mean_ct"
"1",2019-07-23,"SJR1","site","ciliate","cone",32,36,NA,2,200,"ciliate cone 32 36",0.666666666666667,-0.405465108108164
"2",2019-07-23,"SJR1","site","ciliate","round",14,14,NA,1,16,"ciliate round 14 14",0.333333333333333,-1.09861228866811
"3",2019-07-23,"SJR1","site","ciliate","round",24,24,NA,40,2878,"ciliate round 24 24",13.3333333333333,2.59026716544583
"4",2019-07-23,"SJR1","site","ciliate","round",36,36,NA,3,745,"ciliate round 36 36",1,0
"5",2019-07-23,"SJR1","site","cyanobacteria","dolichospermum",4,48,NA,1,6,"cyanobacteria dolichospermum 4 48",0.333333333333333,-1.09861228866811
"6",2019-07-23,"SJR1","site","cyanobacteria","other",8,72,NA,15,519,"cyanobacteria other 8 72",5,1.6094379124341
"7",2019-07-23,"SJR1","site","diatom","centric",5.5,5.5,NA,14,5,"diatom centric 5.5 5.5",4.66666666666667,1.54044504094715
"8",2019-07-23,"SJR1","site","diatom","centric",9.5,9.5,NA,7,11,"diatom centric 9.5 9.5",2.33333333333333,0.847297860387204
"9",2019-07-23,"SJR1","site","diatom","centric",24.5,24.5,NA,791,8388,"diatom centric 24.5 24.5",263.666666666667,5.57468567909954
"10",2019-07-23,"SJR1","site","flagellate","other",6.33,9.5,NA,4,6,"flagellate other 6.33 9.5",1.33333333333333,0.287682072451781
"11",2019-07-23,"SJR1","site","ochrophyte","synura",16,16,NA,14,183,"ochrophyte synura 16 16",4.66666666666667,1.54044504094715
"12",2019-07-23,"SJR1","site","unidentified","flagchloro",4,12,NA,85,82,"unidentified flagchloro 4 12",28.3333333333333,3.34403896782221
"13",2019-07-23,"SJR1","site","unidentified","round",5.5,5.5,NA,154,86,"unidentified round 5.5 5.5",51.3333333333333,3.93834031374552
"14",2019-07-23,"SJR1","site","unidentified","round",24.5,24.5,NA,35,1435,"unidentified round 24.5 24.5",11.6666666666667,2.4567357728213
"15",2019-07-23,"SJR1","site","unidentified","round",40,40,NA,4,745,"unidentified round 40 40",1.33333333333333,0.287682072451781
"16",2019-07-23,"SJR1","site","unidentified",NA,2,10,NA,2,1,"unidentified NA 2 10",0.666666666666667,-0.405465108108164
"17",2019-07-23,"SJR1","site","unidentified",NA,8,12,NA,1,3,"unidentified NA 8 12",0.333333333333333,-1.09861228866811
"18",2019-07-23,"SJR1","site","unidentified",NA,8,32,NA,15,149,"unidentified NA 8 32",5,1.6094379124341
"19",2019-07-23,"SJR1","site","unidentified",NA,24,40,NA,40,2479,"unidentified NA 24 40",13.3333333333333,2.59026716544583
"20",2019-07-23,"SJR1","site","unidentified",NA,40,48,NA,54,10179,"unidentified NA 40 48",18,2.89037175789616
"21",2019-07-24,"SJR1","IC","chlorophyte","other",10,10,NA,6,18,"chlorophyte other 10 10",2,0.693147180559945
"22",2019-07-24,"SJR1","IC","chlorophyte","scenedesmus",4,4,NA,3,1,"chlorophyte scenedesmus 4 4",1,0
"23",2019-07-24,"SJR1","IC","chlorophyte","scenedesmus",4,8,NA,7,3,"chlorophyte scenedesmus 4 8",2.33333333333333,0.847297860387204
"24",2019-07-24,"SJR1","IC","ciliate","cone",24,24,NA,261,2479,"ciliate cone 24 24",87,4.46590811865458
"25",2019-07-24,"SJR1","IC","ciliate","cone",32,36,NA,3,222,"ciliate cone 32 36",1,0
"26",2019-07-24,"SJR1","IC","ciliate","other odd shape",32,136,NA,1,616,"ciliate other odd shape 32 136",0.333333333333333,-1.09861228866811
"27",2019-07-24,"SJR1","IC","ciliate","round",5.5,5.5,NA,6,2,"ciliate round 5.5 5.5",2,0.693147180559945
"28",2019-07-24,"SJR1","IC","ciliate","round",9.5,9.5,NA,88,110,"ciliate round 9.5 9.5",29.3333333333333,3.3787245258101
"29",2019-07-24,"SJR1","IC","ciliate","round",14,14,NA,75,290,"ciliate round 14 14",25,3.2188758248682
"30",2019-07-24,"SJR1","IC","ciliate","round",24,24,NA,13,400,"ciliate round 24 24",4.33333333333333,1.46633706879343
"31",2019-07-24,"SJR1","IC","ciliate","round",48,48,NA,1,439,"ciliate round 48 48",0.333333333333333,-1.09861228866811
"32",2019-07-24,"SJR1","IC","ciliate","round",56,56,NA,2,1530,"ciliate round 56 56",0.666666666666667,-0.405465108108164
"33",2019-07-24,"SJR1","IC","cyanobacteria","aphanizomenon",6,72,NA,1,16,"cyanobacteria aphanizomenon 6 72",0.333333333333333,-1.09861228866811
"34",2019-07-24,"SJR1","IC","cyanobacteria","aphanizomenon",8,80,NA,16,458,"cyanobacteria aphanizomenon 8 80",5.33333333333333,1.67397643357167
"35",2019-07-24,"SJR1","IC","cyanobacteria","dolichospermum",4,80,NA,15,120,"cyanobacteria dolichospermum 4 80",5,1.6094379124341
"36",2019-07-24,"SJR1","IC","cyanobacteria","dolichospermum",8,40,NA,1,16,"cyanobacteria dolichospermum 8 40",0.333333333333333,-1.09861228866811
"37",2019-07-24,"SJR1","IC","diatom","centric",5.5,5.5,NA,196,14,"diatom centric 5.5 5.5",65.3333333333333,4.17950237056241
"38",2019-07-24,"SJR1","IC","diatom","centric",9.5,9.5,NA,748,200,"diatom centric 9.5 9.5",249.333333333333,5.51879068930637
"39",2019-07-24,"SJR1","IC","diatom","centric",14,14,NA,17,20,"diatom centric 14 14",5.66666666666667,1.73460105538811
"40",2019-07-24,"SJR1","IC","diatom","centric",24.5,24.5,NA,1700,4922,"diatom centric 24.5 24.5",566.666666666667,6.3397712413762
"41",2019-07-24,"SJR1","IC","diatom","centric",48,48,NA,4,392,"diatom centric 48 48",1.33333333333333,0.287682072451781
"42",2019-07-24,"SJR1","IC","diatom","chain",8,200,NA,1,15,"diatom chain 8 200",0.333333333333333,-1.09861228866811
"43",2019-07-24,"SJR1","IC","diatom","chain",16,160,NA,1,48,"diatom chain 16 160",0.333333333333333,-1.09861228866811
