"","samp_ev","exp","grp_typ","sa","la","wi","tot_ct","bmn_pgml"
"1","YBP2","IC","chlorophyte actinastrum",2.5,12.5,NA,80,8.75568572143099
"2","YBP2","FC","chlorophyte actinastrum",2.5,12.5,NA,50,12.5612368944213
"3","YBP2","T24","chlorophyte actinastrum",2.5,12.5,NA,10,3.21643836278107
"4","SJR1","FC","chlorophyte colonial",8,8,NA,6,10.7329249822419
"5","SJR1","FC","chlorophyte colonial",12,12,NA,1,5.62763155281812
"6","SJR1","FC","chlorophyte colonial",24,24,NA,2,76.0316332366991
"7","SJR1","T24","chlorophyte colonial",32,32,NA,1,101.343734194413
"8","YBP1","FC","chlorophyte colonial",12,12,NA,4,20.9132744297997
"9","WLD2","IC","chlorophyte colonial",6,6,NA,2,2.24537693910573
"10","WLD2","IC","chlorophyte colonial",6,12,NA,2,1.47217007256309
"11","WLD2","IC","chlorophyte colonial",16,16,NA,1,12.1687155029632
"12","WLD2","FC","chlorophyte colonial",10,10,NA,2,6.51245453222967
"13","WLD2","FC","chlorophyte colonial",12,12,NA,2,11.4004631211074
"14","WLD2","T24","chlorophyte colonial",8,8,NA,1,1.68118254523198
"15","LSZ2","IC","chlorophyte colonial",32,104,NA,1,89.0853374134241
"16","LSZ2","IC","chlorophyte colonial",40,40,NA,1,167.032790213318
"17","LSZ2","FC","chlorophyte colonial",10,10,NA,4,12.3767442733828
"18","LSZ2","FC","chlorophyte colonial",32,32,NA,1,89.1824860910832
"19","LSZ2","T24","chlorophyte colonial",4,4,NA,2,0.489655333036106
"20","SJR2","FC","chlorophyte colonial",10,10,NA,13,37.5157069938899
"21","YBP2","IC","chlorophyte colonial",4,16,NA,42,10.6865941931103
"22","YBP2","IC","chlorophyte colonial",6,6,NA,47,64.2154194482626
"23","YBP2","IC","chlorophyte colonial",8,8,NA,77,132.32905388536
"24","YBP2","IC","chlorophyte colonial",8,16,NA,7,8.17687195718037
"25","YBP2","IC","chlorophyte colonial",10,10,NA,19,36.7356039959422
"26","YBP2","IC","chlorophyte colonial",12,12,NA,7,43.8738623621899
"27","YBP2","IC","chlorophyte colonial",16,16,NA,20,74.3319644931244
"28","YBP2","IC","chlorophyte colonial",24,24,NA,4,182.807764801275
"29","YBP2","IC","chlorophyte colonial",32,32,NA,2,214.427209408708
"30","YBP2","IC","chlorophyte colonial",32,104,NA,2,213.260576060456
"31","YBP2","IC","chlorophyte colonial",40,40,NA,1,247.252485513136
"32","YBP2","IC","chlorophyte colonial",64,64,NA,1,788.159701176486
"33","YBP2","FC","chlorophyte colonial",4,4,NA,21,12.3732771264902
"34","YBP2","FC","chlorophyte colonial",12,12,NA,20,155.073980957805
"35","YBP2","FC","chlorophyte colonial",16,16,NA,82,1311.88388849117
"36","YBP2","FC","chlorophyte colonial",24,24,NA,3,184.030635564141
"37","YBP2","FC","chlorophyte colonial",32,32,NA,13,1639.90426985466
"38","YBP2","T24","chlorophyte colonial",6,6,NA,5,15.6811795002562
"39","YBP2","T24","chlorophyte colonial",6,12,NA,3,7.00149911151085
"40","YBP2","T24","chlorophyte colonial",10,10,NA,88,373.790689152085
"41","YBP2","T24","chlorophyte colonial",12,12,NA,3,26.1715641042912
"42","SJR1","IC","chlorophyte other",10,10,NA,6,18.2308563329072
"43","WLD2","IC","chlorophyte other",16,16,NA,1,12.1687155029632
"44","WLD2","T24","chlorophyte other",10,10,NA,11,29.9556060389731
"45","LSZ2","T24","chlorophyte other",10,10,NA,1,3.37458465577518
"46","YBP2","FC","chlorophyte other",10,10,NA,17,79.6543938468444
"47","LSZ2","IC","chlorophyte pediastrum",40,40,40,1,225.340592967432
"48","YBP2","IC","chlorophyte pediastrum",40,40,40,3,1015.09623385029
"49","YBP2","FC","chlorophyte pediastrum",16,16,16,7,265.163410045223
"50","SJR1","IC","chlorophyte scenedesmus",4,4,NA,3,0.719685741192725
"51","SJR1","IC","chlorophyte scenedesmus",4,8,NA,7,3.06404231975411
"52","SJR1","FC","chlorophyte scenedesmus",4,8,NA,3,1.37075268588933
"53","SJR1","T24","chlorophyte scenedesmus",4,8,NA,3,1.55597669459363
"54","SJR1","T24","chlorophyte scenedesmus",6,8,NA,11,11.2986535230457
"55","YBP1","IC","chlorophyte scenedesmus",4,4,NA,23,2.50419345088537
"56","YBP1","IC","chlorophyte scenedesmus",8,10,NA,3,6.30220962713554
"57","YBP1","FC","chlorophyte scenedesmus",4,4,NA,22,2.39627102178392
"58","YBP1","FC","chlorophyte scenedesmus",4,8,NA,7,2.80926174922989
"59","YBP1","FC","chlorophyte scenedesmus",8,12,NA,5,11.0169658825401
"60","YBP1","FC","chlorophyte scenedesmus",16,32,NA,1,24.5305503322316
"61","YBP1","T24","chlorophyte scenedesmus",4,4,NA,16,1.79593265649352
"62","YBP1","T24","chlorophyte scenedesmus",6,6,NA,5,3.47278164347369
"63","WLD2","IC","chlorophyte scenedesmus",4,6,NA,11,1.85462240337699
"64","WLD2","FC","chlorophyte scenedesmus",4,6,NA,3,1.10553196463212
"65","WLD2","FC","chlorophyte scenedesmus",4,8,NA,5,2.23398644609241
"66","WLD2","T24","chlorophyte scenedesmus",4,6,NA,3,0.979444710059967
"67","WLD2","T24","chlorophyte scenedesmus",4,8,NA,10,2.20411108654019
"68","LSZ2","IC","chlorophyte scenedesmus",4,6,NA,5,1.55658294199153
"69","LSZ2","IC","chlorophyte scenedesmus",8,10,NA,2,4.2410061457909
"70","LSZ2","FC","chlorophyte scenedesmus",4,6,NA,6,1.04798190691819
"71","LSZ2","FC","chlorophyte scenedesmus",14,20,NA,3,34.2577675568689
"72","LSZ2","T24","chlorophyte scenedesmus",10,16,NA,4,19.9361945440795
"73","LSZ2","T24","chlorophyte scenedesmus",16,24,NA,1,18.559916193189
"74","SJR2","IC","chlorophyte scenedesmus",4,4,NA,8,0.935699900050487
"75","SJR2","IC","chlorophyte scenedesmus",6,14,NA,9,13.9584217902555
"76","SJR2","IC","chlorophyte scenedesmus",16,32,NA,2,24.2631570212019
"77","SJR2","FC","chlorophyte scenedesmus",4,4,NA,2,0.490191060971594
"78","SJR2","FC","chlorophyte scenedesmus",4,8,NA,10,4.25491108397382
"79","SJR2","FC","chlorophyte scenedesmus",12,16,NA,1,7.36494968291248
"80","SJR2","FC","chlorophyte scenedesmus",16,32,NA,1,24.3160755752285
"81","SJR2","T24","chlorophyte scenedesmus",4,4,NA,2,0.488587382473323
"82","SJR2","T24","chlorophyte scenedesmus",4,6,NA,1,0.372116217650719
"83","SJR2","T24","chlorophyte scenedesmus",4,8,NA,6,2.63374978435133
"84","YBP2","IC","chlorophyte scenedesmus",4,6,NA,48,9.31659562313002
"85","YBP2","IC","chlorophyte scenedesmus",6,6,NA,1,1.00151466072422
"86","YBP2","IC","chlorophyte scenedesmus",8,12,NA,8,27.3837772780701
"87","YBP2","IC","chlorophyte scenedesmus",10,16,NA,7,40.8151091334489
"88","YBP2","IC","chlorophyte scenedesmus",14,20,NA,2,29.1990029282279
"89","YBP2","IC","chlorophyte scenedesmus",16,24,NA,3,65.1595055909778
"90","YBP2","IC","chlorophyte scenedesmus",16,32,NA,4,111.235500197937
"91","YBP2","FC","chlorophyte scenedesmus",4,6,NA,62,16.1613322215781
"92","YBP2","FC","chlorophyte scenedesmus",12,16,NA,3,34.2141773229227
"93","YBP2","FC","chlorophyte scenedesmus",16,24,NA,2,98.8418068959316
"94","YBP2","FC","chlorophyte scenedesmus",16,32,NA,1,67.5446543756347
"95","YBP2","T24","chlorophyte scenedesmus",4,4,NA,26,6.13171309407782
"96","YBP2","T24","chlorophyte scenedesmus",4,6,NA,41,20.207657823502
"97","YBP2","T24","chlorophyte scenedesmus",4,8,NA,14,18.1972807097643
"98","YBP2","T24","chlorophyte scenedesmus",6,8,NA,8,21.8280616288295
"99","SJR1","IC","ciliate cone",24,24,NA,261,2478.56607571081
"100","SJR1","IC","ciliate cone",32,36,NA,3,221.972196259454
"101","SJR1","FC","ciliate cone",24,24,NA,275,3143.88124749351
"102","SJR1","FC","ciliate cone",32,36,NA,5,452.655508197576
"103","SJR1","T24","ciliate cone",24,24,NA,77,820.486404127525
"104","YBP1","IC","ciliate cone",24,24,NA,85,855.507429948318
"105","YBP1","FC","ciliate cone",24,24,NA,429,4070.26077937213
"106","YBP1","FC","ciliate cone",24,40,NA,131,5900.21212410048
"107","YBP1","FC","ciliate cone",32,56,NA,1,130.557324370077
"108","YBP1","T24","ciliate cone",24,24,NA,105,1574.13458686617
"109","WLD2","IC","ciliate cone",24,24,NA,63,628.862133681719
"110","WLD2","FC","ciliate cone",24,24,NA,351,3546.17326194538
"111","WLD2","FC","ciliate cone",24,40,NA,7,377.464328056694
"112","WLD2","FC","ciliate cone",32,36,NA,2,167.370336161615
"113","WLD2","T24","ciliate cone",24,24,NA,76,741.375284050872
"114","WLD2","T24","ciliate cone",24,40,NA,1,51.2362776510143
"115","WLD2","T24","ciliate cone",40,48,NA,1,161.146452830311
"116","LSZ2","IC","ciliate cone",24,24,NA,160,1548.95626575545
"117","LSZ2","FC","ciliate cone",24,24,NA,575,5626.08320403988
"118","LSZ2","FC","ciliate cone",32,36,NA,2,165.362622205478
"119","LSZ2","FC","ciliate cone",40,48,NA,5,424.375444198797
"120","LSZ2","T24","ciliate cone",24,24,NA,102,1028.57412864964
"121","LSZ2","T24","ciliate cone",32,56,NA,1,133.784676884105
"122","SJR2","IC","ciliate cone",24,24,NA,133,1327.78402146556
"123","SJR2","IC","ciliate cone",24,40,NA,4,206.416801782242
"124","SJR2","FC","ciliate cone",24,24,NA,151,4433.13107903709
