"","ï..samp_date","cnt_date","sample","pres_fact","vol_set_ml","n_bugs","time_d","zoom"
"1","7/23/19","4/21/21","SJR1 site",0.901,21,24,1,100
"2","7/24/19","9/16/21","SJR1 IC-1",0.909,25,24,1,100
"3","7/24/19","9/17/21","SJR1 IC-2",0.911,25,24,1,100
"4","7/24/19","9/20/21","SJR1 IC-3",0.909,28,24,1,100
"5","7/25/19","9/2/21","SJR1 FC-1",0.919,18,24,1,100
"6","7/25/19","9/7/21","SJR1 T24-1",0.918,22,24,1,100
"7","7/25/19","9/8/21","SJR1 FC-2",0.917,22.5,24,1,100
"8","7/25/19","9/10/21","SJR1 T24-2",0.917,22,24,1,100
"9","7/25/19","9/13/21","SJR1 FC-3",0.917,25,24,1,100
"10","7/25/19","9/15/21","SJR1 T24-3",0.906,25,24,1,100
"11","7/30/19","5/21/21","YBP1 site",0.898,16,24,1,100
"12","7/31/19","11/5/21","YBP1 IC-1",0.902,26,24,1,100
"13","7/31/19","11/9/21","YBP1 IC-2",0.907,25,24,1,100
"14","7/31/19","11/10/21","YBP1 IC-3",0.904,25,24,1,100
"15","8/1/19","10/27/21","YBP1 FC-1",0.907,25,24,1,100
"16","8/1/19","10/28/21","YBP1 T24-1",0.919,26,24,1,100
"17","8/1/19","10/29/21","YBP1 FC-2",0.911,26,24,1,100
"18","8/1/19","11/2/21","YBP1 T24-2",0.911,25,24,1,100
"19","8/1/19","11/3/21","YBP1 FC-3",0.918,27,24,1,100
"20","8/1/19","11/4/21","YBP1 T24-3",0.918,25,24,1,100
"21","8/13/19","5/12/21","WLD2 site",0.902,17,24,1,100
"22","8/14/19","10/1/21","WLD2 IC-1",0.917,26,24,1,100
"23","8/14/19","10/5/21","WLD2 IC-2",0.907,25,24,1,100
"24","8/14/19","10/6/21","WLD2 IC-3",0.915,25,24,1,100
"25","8/15/19","9/22/21","WLD2 FC-1",0.904,24,24,1,100
"26","8/15/19","9/23/21","WLD2 T24-1",0.906,26,24,1,100
"27","8/15/19","9/24/21","WLD2 FC-2",0.906,25,24,1,100
"28","8/15/19","9/28/21","WLD2 T24-2",0.906,25,24,1,100
"29","8/15/19","9/29/21","WLD2 FC-3",0.909,25,24,1,100
"30","8/15/19","9/30/21","WLD2 T24-3",0.907,27,24,1,100
"31","8/18/19","5/19/21","LSZ2 site",0.902,18,24,1,100
"32","8/19/19","10/21/21","LSZ2 IC-1",0.918,25,24,1,100
"33","8/19/19","10/22/21","LSZ2 IC-2",0.918,25,24,1,100
"34","8/19/19","10/26/21","LSZ2 IC-3",0.922,27,24,1,100
"35","8/20/19","10/12/21","LSZ2 FC-1",0.917,25,24,1,100
"36","8/20/19","10/13/21","LSZ2 T24-1",0.922,24,24,1,100
"37","8/20/19","10/14/21","LSZ2 FC-2",0.912,25,24,1,100
"38","8/20/19","10/15/21","LSZ2 T24-2",0.914,25,24,1,100
"39","8/20/19","10/19/21","LSZ2 FC-3",0.914,25,24,1,100
"40","8/20/19","10/20/21","LSZ2 T24-3",0.915,25,24,1,100
