"","samp_ev","exp","rep","grp_sz","counts"
"1","SJR2","FC","1","chlorophyte actinastrum 2.5 12.5",0
"2","SJR2","T24","1","chlorophyte actinastrum 2.5 12.5",0
"3","SJR2","FC","2","chlorophyte actinastrum 2.5 12.5",0
"4","SJR2","T24","2","chlorophyte actinastrum 2.5 12.5",0
"5","SJR2","FC","3","chlorophyte actinastrum 2.5 12.5",0
"6","SJR2","T24","3","chlorophyte actinastrum 2.5 12.5",0
"7","YBP1","FC","1","chlorophyte actinastrum 2.5 12.5",0
"8","YBP1","T24","1","chlorophyte actinastrum 2.5 12.5",0
"9","YBP1","FC","2","chlorophyte actinastrum 2.5 12.5",0
"10","YBP1","T24","2","chlorophyte actinastrum 2.5 12.5",0
"11","YBP1","FC","3","chlorophyte actinastrum 2.5 12.5",0
"12","YBP1","T24","3","chlorophyte actinastrum 2.5 12.5",0
"13","LSZ2","FC","1","chlorophyte actinastrum 2.5 12.5",0
"14","LSZ2","T24","1","chlorophyte actinastrum 2.5 12.5",0
"15","LSZ2","FC","2","chlorophyte actinastrum 2.5 12.5",0
"16","LSZ2","T24","2","chlorophyte actinastrum 2.5 12.5",0
"17","LSZ2","FC","3","chlorophyte actinastrum 2.5 12.5",0
"18","LSZ2","T24","3","chlorophyte actinastrum 2.5 12.5",0
"19","WLD2","FC","1","chlorophyte actinastrum 2.5 12.5",0
"20","WLD2","T24","1","chlorophyte actinastrum 2.5 12.5",0
"21","WLD2","FC","2","chlorophyte actinastrum 2.5 12.5",0
"22","WLD2","T24","2","chlorophyte actinastrum 2.5 12.5",0
"23","WLD2","FC","3","chlorophyte actinastrum 2.5 12.5",0
"24","WLD2","T24","3","chlorophyte actinastrum 2.5 12.5",0
"25","SJR1","FC","1","chlorophyte actinastrum 2.5 12.5",0
"26","SJR1","T24","1","chlorophyte actinastrum 2.5 12.5",0
"27","SJR1","FC","2","chlorophyte actinastrum 2.5 12.5",0
"28","SJR1","T24","2","chlorophyte actinastrum 2.5 12.5",0
"29","SJR1","FC","3","chlorophyte actinastrum 2.5 12.5",0
"30","SJR1","T24","3","chlorophyte actinastrum 2.5 12.5",0
"31","YBP2","FC","1","chlorophyte actinastrum 2.5 12.5",5
"32","YBP2","T24","1","chlorophyte actinastrum 2.5 12.5",5
"33","YBP2","FC","2","chlorophyte actinastrum 2.5 12.5",0
"34","YBP2","T24","2","chlorophyte actinastrum 2.5 12.5",0
"35","YBP2","FC","3","chlorophyte actinastrum 2.5 12.5",45
"36","YBP2","T24","3","chlorophyte actinastrum 2.5 12.5",5
"37","SJR2","FC","1","chlorophyte colonial 16 16",0
"38","SJR2","T24","1","chlorophyte colonial 16 16",0
"39","SJR2","FC","2","chlorophyte colonial 16 16",0
"40","SJR2","T24","2","chlorophyte colonial 16 16",0
"41","SJR2","FC","3","chlorophyte colonial 16 16",0
"42","SJR2","T24","3","chlorophyte colonial 16 16",0
"43","YBP1","FC","1","chlorophyte colonial 16 16",0
"44","YBP1","T24","1","chlorophyte colonial 16 16",0
"45","YBP1","FC","2","chlorophyte colonial 16 16",0
"46","YBP1","T24","2","chlorophyte colonial 16 16",0
"47","YBP1","FC","3","chlorophyte colonial 16 16",0
"48","YBP1","T24","3","chlorophyte colonial 16 16",0
"49","LSZ2","FC","1","chlorophyte colonial 16 16",0
"50","LSZ2","T24","1","chlorophyte colonial 16 16",0
"51","LSZ2","FC","2","chlorophyte colonial 16 16",0
"52","LSZ2","T24","2","chlorophyte colonial 16 16",0
"53","LSZ2","FC","3","chlorophyte colonial 16 16",0
"54","LSZ2","T24","3","chlorophyte colonial 16 16",0
"55","WLD2","FC","1","chlorophyte colonial 16 16",0
"56","WLD2","T24","1","chlorophyte colonial 16 16",0
"57","WLD2","FC","2","chlorophyte colonial 16 16",0
"58","WLD2","T24","2","chlorophyte colonial 16 16",0
"59","WLD2","FC","3","chlorophyte colonial 16 16",0
"60","WLD2","T24","3","chlorophyte colonial 16 16",0
"61","SJR1","FC","1","chlorophyte colonial 16 16",0
"62","SJR1","T24","1","chlorophyte colonial 16 16",0
"63","SJR1","FC","2","chlorophyte colonial 16 16",0
"64","SJR1","T24","2","chlorophyte colonial 16 16",0
"65","SJR1","FC","3","chlorophyte colonial 16 16",0
"66","SJR1","T24","3","chlorophyte colonial 16 16",0
"67","YBP2","FC","1","chlorophyte colonial 16 16",0
"68","YBP2","T24","1","chlorophyte colonial 16 16",0
"69","YBP2","FC","2","chlorophyte colonial 16 16",0
"70","YBP2","T24","2","chlorophyte colonial 16 16",0
"71","YBP2","FC","3","chlorophyte colonial 16 16",0
"72","YBP2","T24","3","chlorophyte colonial 16 16",0
"73","SJR2","FC","1","chlorophyte colonial 24 24",0
"74","SJR2","T24","1","chlorophyte colonial 24 24",0
"75","SJR2","FC","2","chlorophyte colonial 24 24",0
"76","SJR2","T24","2","chlorophyte colonial 24 24",0
"77","SJR2","FC","3","chlorophyte colonial 24 24",0
"78","SJR2","T24","3","chlorophyte colonial 24 24",0
"79","YBP1","FC","1","chlorophyte colonial 24 24",0
"80","YBP1","T24","1","chlorophyte colonial 24 24",0
"81","YBP1","FC","2","chlorophyte colonial 24 24",0
"82","YBP1","T24","2","chlorophyte colonial 24 24",0
"83","YBP1","FC","3","chlorophyte colonial 24 24",0
"84","YBP1","T24","3","chlorophyte colonial 24 24",0
"85","LSZ2","FC","1","chlorophyte colonial 24 24",0
"86","LSZ2","T24","1","chlorophyte colonial 24 24",0
"87","LSZ2","FC","2","chlorophyte colonial 24 24",0
"88","LSZ2","T24","2","chlorophyte colonial 24 24",0
"89","LSZ2","FC","3","chlorophyte colonial 24 24",0
"90","LSZ2","T24","3","chlorophyte colonial 24 24",0
"91","WLD2","FC","1","chlorophyte colonial 24 24",0
"92","WLD2","T24","1","chlorophyte colonial 24 24",0
"93","WLD2","FC","2","chlorophyte colonial 24 24",0
"94","WLD2","T24","2","chlorophyte colonial 24 24",0
"95","WLD2","FC","3","chlorophyte colonial 24 24",0
"96","WLD2","T24","3","chlorophyte colonial 24 24",0
"97","SJR1","FC","1","chlorophyte colonial 24 24",0
"98","SJR1","T24","1","chlorophyte colonial 24 24",0
"99","SJR1","FC","2","chlorophyte colonial 24 24",0
"100","SJR1","T24","2","chlorophyte colonial 24 24",0
"101","SJR1","FC","3","chlorophyte colonial 24 24",2
"102","SJR1","T24","3","chlorophyte colonial 24 24",0
"103","YBP2","FC","1","chlorophyte colonial 24 24",0
"104","YBP2","T24","1","chlorophyte colonial 24 24",0
"105","YBP2","FC","2","chlorophyte colonial 24 24",0
"106","YBP2","T24","2","chlorophyte colonial 24 24",0
"107","YBP2","FC","3","chlorophyte colonial 24 24",3
"108","YBP2","T24","3","chlorophyte colonial 24 24",0
"109","SJR2","FC","1","chlorophyte colonial 32 32",0
"110","SJR2","T24","1","chlorophyte colonial 32 32",0
"111","SJR2","FC","2","chlorophyte colonial 32 32",0
"112","SJR2","T24","2","chlorophyte colonial 32 32",0
"113","SJR2","FC","3","chlorophyte colonial 32 32",0
"114","SJR2","T24","3","chlorophyte colonial 32 32",0
"115","YBP1","FC","1","chlorophyte colonial 32 32",0
"116","YBP1","T24","1","chlorophyte colonial 32 32",0
"117","YBP1","FC","2","chlorophyte colonial 32 32",0
"118","YBP1","T24","2","chlorophyte colonial 32 32",0
"119","YBP1","FC","3","chlorophyte colonial 32 32",0
"120","YBP1","T24","3","chlorophyte colonial 32 32",0
"121","LSZ2","FC","1","chlorophyte colonial 32 32",1
"122","LSZ2","T24","1","chlorophyte colonial 32 32",0
"123","LSZ2","FC","2","chlorophyte colonial 32 32",0
