group,totalCPM,sampEvent,seq
flagellate cryptomonas,394.0415729914543,YBP1,flglltcr
diatom centric,329.0554229585858,LSZ2,dtmcn
diatom centric,301.8834844559823,SJR1,dtmcn
unidentified round,228.7791706715732,YBP2,undntfdrn
flagellate cryptomonas,223.8601286559804,LSZ2,flglltcr
flagellate other,216.34309674913587,YBP2,flgo
diatom centric,160.38186497590988,YBP2,dtmcn
unidentified round,133.3654917207517,WLD2,undntfdrn
flagellate other,125.98104939127596,YBP1,flgo
flagellate cryptomonas,124.04356955433191,WLD2,flglltcr
unidentified round,116.93461664272735,YBP1,undntfdrn
flagellate other,107.74128299869085,SJR2,flgo
flagellate cryptomonas,104.77658580107548,SJR2,flglltcr
unidentified round,98.10804742678759,SJR1,undntfdrn
diatom centric,89.82992129627277,SJR2,dtmcn
diatom pennate,87.81767358693105,YBP2,dtmp
flagellate other,84.41135728023819,WLD2,flgo
cyanobacteria aphanizomenon,78.73173703485898,YBP2,cyna
ciliate round,78.54577791919075,YBP2,cltr
unidentified round,73.34336524639406,LSZ2,undntfdrn
flagellate other,69.52392460535359,SJR1,flgo
unidentified round,62.329362830898354,SJR2,undntfdrn
flagellate other,54.598427959289076,LSZ2,flgo
unidentified flagchloro,43.91671008611739,YBP2,undf
ciliate cone,36.83197904660641,LSZ2,cltc
ciliate round,36.18392428971006,YBP1,cltr
chlorophyte colonial,34.79341931520054,YBP2,chlc
ciliate round,32.806638203700416,SJR1,cltr
ciliate cone,32.024610037081274,YBP1,cltc
unidentified NA,30.235033359057642,YBP2,unNA
diatom pennate,29.68505831702704,LSZ2,dtmp
ciliate cone,28.930394325197295,SJR1,cltc
diatom pennate,28.765114617374618,YBP1,dtmp
flagellate cryptomonas,28.619436078101003,YBP2,flglltcr
tintinnid agglutinated,28.163519005964144,YBP2,tnta
ciliate round,27.004264741346486,SJR2,cltr
ciliate round,25.72409006441447,WLD2,cltr
diatom pennate,25.2307571617095,WLD2,dtmp
diatom pennate,23.957371457371888,SJR2,dtmp
diatom chain,23.644065155720895,YBP2,dtmch
ciliate cone,22.212418887878194,WLD2,cltc
ciliate cone,20.880703853704702,YBP2,cltc
chlorophyte scenedesmus,20.659279201958313,YBP2,chls
cyanobacteria dolichospermum,19.017918229985035,YBP2,cynd
unidentified flagchloro,17.70399265403221,SJR1,undf
diatom centric,17.28505210333584,YBP1,dtmcn
ciliate cone,15.897513366099577,SJR2,cltc
unidentified flagchloro,15.890047109625414,LSZ2,undf
chlorophyte actinastrum,13.638788452714328,YBP2,chla
diatom cylindrotheca pennate,13.58472104120305,YBP2,dtcp
cyanobacteria aphanizomenon,13.264537219061223,WLD2,cyna
ciliate round,12.212771015344023,LSZ2,cltr
diatom centric,11.672243816145379,WLD2,dtmcn
unidentified NA,10.439725034287548,SJR1,unNA
unidentified NA,9.896981925071875,WLD2,unNA
